0	42	21	10	26	13	28	38	40	1	1	2	4	2	
10	31	58	34	9	39	14	42	66	3	8	3	1	7	
3	13	14	28	33	30	4	20	5	1	4	1	6	13	
0	4	4	22	35	7	6	18	1	2	9	3	4	6	
0	12	3	19	17	17	10	9	6	1	3	1	0	0	
1	6	1	0	34	17	3	8	40	4	5	2	3	1	
18	5	18	14	11	9	1	23	22	4	6	1	0	0	
2	8	2	7	2	22	9	0	3	1	0	0	6	4	
3	4	2	11	7	5	35	31	11	0	4	7	2	9	
1	22	8	11	4	23	11	6	17	0	1	3	1	5	
6	13	11	0	1	20	0	1	5	1	0	7	0	2	
0	3	8	4	6	29	0	3	0	12	1	13	12	4	
0	0	1	0	0	0	2	0	0	1	0	2	0	0	
7	7	3	0	4	11	5	0	2	1	1	5	2	1	
3	5	25	2	6	13	12	0	2	0	1	1	2	0	
4	7	22	14	12	4	12	16	0	3	2	0	11	1	
8	2	12	19	9	6	23	7	0	1	2	1	6	2	
3	34	5	22	5	6	1	32	2	8	5	1	0	2	
16	1	12	1	2	8	27	0	1	1	2	0	4	0	
18	5	0	19	14	7	9	27	0	0	2	1	0	6	
2	28	7	2	13	6	6	2	3	8	3	1	5	0	
1	9	21	13	0	4	9	24	0	0	2	0	1	5	
2	0	12	3	19	1	5	0	0	0	3	2	3	6	
3	2	1	3	3	0	2	1	3	1	2	0	11	2	
