0	6	17	1	28	14	0	25	44	2	4	2	7	4	
1	13	35	52	14	37	2	20	32	6	2	0	1	0	
0	10	38	10	15	24	4	41	25	1	14	1	0	8	
0	25	5	16	7	12	8	7	52	4	6	5	2	0	
0	5	5	11	8	20	36	10	0	2	0	2	1	3	
4	5	0	18	29	14	4	0	1	0	0	1	0	22	
8	0	14	4	8	10	6	1	20	3	2	5	0	3	
5	36	14	3	30	1	18	0	2	5	0	4	0	1	
5	20	16	3	9	3	6	0	0	1	3	6	6	6	
3	1	9	9	3	9	17	0	8	2	3	5	6	0	
6	1	24	10	1	40	13	0	0	0	0	0	0	0	
23	14	13	8	7	18	20	15	2	12	1	3	9	2	
13	14	0	30	16	30	8	54	0	1	5	5	9	0	
0	4	14	1	2	9	10	35	0	3	0	3	3	0	
0	27	12	16	21	6	4	11	0	0	3	4	2	6	
11	14	24	16	27	10	14	0	0	0	8	4	13	4	
6	0	20	4	6	0	7	27	4	6	4	3	12	0	
13	13	12	0	0	6	11	10	1	1	1	1	2	0	
4	5	0	5	18	5	24	5	0	4	0	3	6	0	
3	0	0	20	5	1	2	18	2	4	3	7	0	1	
0	11	8	1	0	2	23	25	0	0	0	0	1	0	
14	1	3	7	0	1	5	1	2	0	0	3	3	2	
6	0	4	3	20	4	20	0	0	0	3	1	1	3	
7	1	14	5	6	2	3	2	0	0	0	1	0	2	
