0	12	84.45	644.95
1	9.19	137.2	576.3
2	12.27	97.7	615.8
3	20.69	126.6	682.1
4	26.82	109.4	715.1
5	27.35	127.1	634
6	13.81	102.2	643
7	17.31	93.6	588.2
8	16.42	83.35	582.65
9	9.83	117.6	833.8
10	8.63	110.45	1110.45
11	8.87	110	1221.9
12	8.35	111.85	1251.75
13	16.44	84.45	1168.15
14	16.19	125.6	920.9
15	8.87	99.35	661.75
16	8.65	93.15	382.55
17	8.11	95.75	316.55
18	8.25	134.8	229.9
19	8.1	104.25	244.55
20	8.14	136.3	133.3
21	8.13	124.15	145.45
22	8.34	125.6	286.7
23	9.35	241.45	297.65
