0	12	101.8	627.6
1	9.19	149.95	563.55
2	12.27	110.2	603.3
3	20.69	64.5	744.2
4	26.82	112.25	712.25
5	27.35	122.3	638.8
6	13.81	76.45	668.75
7	17.31	131.35	550.45
8	16.42	109.05	556.95
9	9.83	102.4	849
10	8.63	62.2	1158.7
11	8.87	119.7	1212.2
12	8.35	128.5	1235.1
13	16.44	122.3	1130.3
14	16.19	143	903.5
15	8.87	151.45	609.65
16	8.65	118.7	357
17	8.11	86.6	325.7
18	8.25	123.85	240.85
19	8.1	85.85	262.95
20	8.14	106.6	163
21	8.13	76.8	192.8
22	8.34	127.1	285.2
23	9.35	243.45	295.65
