0	12	109.05	620.35
1	9.19	85.6	627.9
2	12.27	128.25	585.25
3	20.69	106.5	702.2
4	26.82	120.7	703.8
5	27.35	86.7	674.4
6	13.81	97.7	647.5
7	17.31	125.85	555.95
8	16.42	86.95	579.05
9	9.83	77.6	873.8
10	8.63	114.3	1106.6
11	8.87	129.35	1202.55
12	8.35	102.6	1261
13	16.44	124.6	1128
14	16.19	137.45	909.05
15	8.87	90.9	670.2
16	8.65	161.9	313.8
17	8.11	111.1	301.2
18	8.25	130.9	233.8
19	8.1	90.55	258.25
20	8.14	72.95	196.65
21	8.13	153	116.6
22	8.34	92.05	320.25
23	9.35	239.8	299.3
