0	12	117.8	611.6
1	9.19	112.45	601.05
2	12.27	145.9	567.6
3	20.69	157.7	651
4	26.82	103.7	720.8
5	27.35	115.7	645.4
6	13.81	115.85	629.35
7	17.31	146.75	535.05
8	16.42	99.55	566.45
9	9.83	82.05	869.35
10	8.63	121.9	1099
11	8.87	97.25	1234.65
12	8.35	105.75	1257.85
13	16.44	113	1139.6
14	16.19	66.1	980.4
15	8.87	120.4	640.7
16	8.65	88.45	387.25
17	8.11	68.15	344.15
18	8.25	90.4	274.3
19	8.1	117	231.8
20	8.14	102.45	167.15
21	8.13	127.25	142.35
22	8.34	108.35	303.95
23	9.35	252.45	286.65
