1	30	52	38	23	10	31	42	40	2	0	0	2	4	
9	20	11	32	29	20	7	85	57	2	1	2	0	13	
4	28	28	27	21	30	4	21	32	2	6	13	6	4	
0	37	3	16	13	6	12	0	24	0	3	5	2	6	
1	0	22	1	1	13	0	2	24	0	3	5	1	1	
1	5	14	1	6	57	5	3	0	1	4	3	2	0	
3	6	9	10	12	1	30	27	6	4	3	3	0	2	
0	13	24	2	0	5	1	10	0	3	12	3	3	15	
2	1	1	8	20	6	2	5	12	0	1	5	5	2	
1	9	4	16	17	29	14	4	10	5	3	2	1	2	
8	11	21	4	23	15	10	0	9	8	4	1	5	4	
17	12	16	1	28	43	1	15	9	5	7	1	1	0	
7	27	4	22	22	8	1	21	0	1	2	3	1	1	
0	7	0	2	8	1	0	0	1	2	0	0	1	0	
1	4	0	0	6	1	20	0	1	1	0	1	1	3	
2	4	7	8	1	14	6	2	0	6	1	5	6	1	
8	4	15	5	8	5	19	14	1	2	3	3	13	5	
6	19	17	19	4	2	15	40	1	3	1	0	2	3	
5	5	5	12	9	2	4	13	2	1	3	1	0	0	
4	14	18	22	15	2	9	2	2	0	1	2	2	3	
1	0	7	23	1	0	2	21	0	2	0	6	1	0	
10	0	5	1	1	12	0	7	1	0	0	7	0	1	
0	1	3	1	4	3	8	1	0	0	0	3	6	3	
1	0	5	2	0	1	0	1	3	1	2	9	2	0	
