6	22	52	2	25	21	21	39	38	0	4	6	1	5	
13	28	20	45	42	59	30	37	25	5	0	7	4	5	
9	5	3	13	24	37	6	13	9	3	1	3	1	5	
0	8	6	33	25	22	4	27	33	4	4	8	2	12	
3	7	2	11	16	8	1	0	25	0	3	0	1	2	
1	4	27	12	6	1	17	8	28	4	0	1	6	3	
2	8	4	4	32	5	8	5	29	6	10	4	5	0	
4	12	4	0	0	13	0	45	11	0	1	2	0	0	
1	0	4	2	3	6	5	31	7	3	0	3	2	0	
1	8	3	0	2	17	11	0	0	2	0	2	9	0	
5	12	20	1	17	3	3	2	11	0	7	3	6	8	
1	18	11	2	21	7	0	6	3	8	4	13	2	4	
4	0	2	11	35	3	3	30	1	4	2	1	2	5	
1	8	11	3	3	1	0	0	2	2	2	1	1	2	
6	0	3	1	1	5	15	0	0	5	0	0	3	2	
18	28	13	3	47	6	20	9	0	1	0	5	5	4	
1	41	5	38	1	13	8	0	4	3	4	5	6	4	
8	6	19	12	0	7	2	24	1	6	1	2	6	1	
4	6	3	8	12	5	21	28	2	0	3	2	12	0	
4	0	18	20	5	5	2	37	4	2	1	0	1	4	
8	15	3	0	2	13	10	5	0	0	1	1	0	0	
11	3	24	2	0	3	7	0	0	1	0	3	7	1	
7	28	2	0	0	1	0	4	1	1	0	3	2	0	
4	0	1	3	3	2	3	1	0	0	0	0	2	1	
