0	17	5	34	44	45	23	1	34	4	1	8	9	8	
5	26	33	35	41	19	24	58	25	2	0	2	5	6	
5	22	12	36	12	28	0	20	5	5	4	0	7	2	
4	26	26	3	6	0	11	6	36	4	9	2	7	2	
3	29	3	4	3	3	2	28	12	4	4	0	6	6	
2	11	11	24	0	15	11	36	18	2	1	9	1	0	
1	1	4	3	34	18	10	6	7	13	2	2	3	0	
0	2	8	0	0	0	2	0	18	3	6	0	0	0	
5	1	13	10	45	28	6	11	23	5	1	4	2	6	
0	3	14	5	6	0	1	1	22	0	5	2	0	3	
2	6	4	9	4	35	1	3	19	2	1	6	9	17	
2	8	0	0	12	1	1	5	0	4	5	5	11	5	
0	0	1	0	0	0	0	0	0	0	0	1	0	0	
2	19	0	0	4	7	42	2	2	1	1	5	7	5	
2	3	14	4	10	5	7	14	0	2	0	1	0	0	
11	8	7	23	10	8	20	24	1	0	3	2	5	1	
7	26	26	4	18	0	4	7	2	0	6	5	4	1	
40	2	19	0	49	2	2	29	2	2	1	3	2	0	
5	34	26	11	3	0	6	13	0	0	1	0	5	3	
1	9	2	13	2	17	12	34	0	2	1	3	0	2	
7	0	3	2	20	5	2	1	0	0	3	1	1	0	
14	3	13	11	3	5	17	2	5	0	0	0	0	0	
2	4	11	0	4	6	13	2	0	3	2	0	0	0	
0	9	1	0	11	1	16	5	0	2	0	4	5	6	
